run,alpha,beta,omega,country,pfrac
790523,0.200000,7.500000,0.700000,Afghanistan,0.560667
740843,0.200000,7.500000,0.800000,Afghanistan,0.563333
168443,0.200000,7.500000,0.900000,Afghanistan,0.581333
1157075,0.200000,7.500000,1.000000,Afghanistan,0.563333
584699,0.200000,8.000000,0.000000,Afghanistan,0.563333
839147,0.200000,8.000000,0.100000,Afghanistan,0.565333
266747,0.200000,8.000000,0.200000,Afghanistan,0.567333
727907,0.200000,8.000000,0.300000,Afghanistan,0.576000
682979,0.200000,8.000000,0.400000,Afghanistan,0.568667
110579,0.200000,8.000000,0.500000,Afghanistan,0.570000
1151483,0.200000,8.000000,0.600000,Afghanistan,0.558000
526811,0.200000,8.000000,0.700000,Afghanistan,0.557333
529403,0.200000,8.000000,0.800000,Afghanistan,0.574667
995315,0.200000,8.000000,0.900000,Afghanistan,0.555333
97403,0.200000,8.000000,1.000000,Afghanistan,0.579333
793598,0.300000,4.000000,0.000000,Afghanistan,0.550667
767678,0.300000,4.000000,0.100000,Afghanistan,0.552000
19454,0.300000,4.000000,0.200000,Afghanistan,0.548667
1183910,0.300000,4.000000,0.300000,Afghanistan,0.530667
611510,0.300000,4.000000,0.400000,Afghanistan,0.531333
378878,0.300000,4.000000,0.500000,Afghanistan,0.510667
600062,0.300000,4.000000,0.600000,Afghanistan,0.518667
455342,0.300000,4.000000,0.700000,Afghanistan,0.481333
130046,0.300000,4.000000,0.800000,Afghanistan,0.462000
655358,0.300000,4.000000,0.900000,Afghanistan,0.444000
299174,0.300000,4.000000,1.000000,Afghanistan,0.395333
553646,0.300000,4.500000,0.000000,Afghanistan,0.547333
532478,0.300000,4.500000,0.100000,Afghanistan,0.554667
449534,0.300000,4.500000,0.200000,Afghanistan,0.558000
397478,0.300000,4.500000,0.300000,Afghanistan,0.543333
587774,0.300000,4.500000,0.400000,Afghanistan,0.536667
865982,0.300000,4.500000,0.500000,Afghanistan,0.536667
421886,0.300000,4.500000,0.600000,Afghanistan,0.542000
34814,0.300000,4.500000,0.700000,Afghanistan,0.511333
709814,0.300000,4.500000,0.800000,Afghanistan,0.500667
477182,0.300000,4.500000,0.900000,Afghanistan,0.483333
698366,0.300000,4.500000,1.000000,Afghanistan,0.455333
741374,0.300000,5.000000,0.000000,Afghanistan,0.556667
808118,0.300000,5.000000,0.100000,Afghanistan,0.554000
575486,0.300000,5.000000,0.200000,Afghanistan,0.546667
796670,0.300000,5.000000,0.300000,Afghanistan,0.565333
651950,0.300000,5.000000,0.400000,Afghanistan,0.562000
79550,0.300000,5.000000,0.500000,Afghanistan,0.550000
547838,0.300000,5.000000,0.600000,Afghanistan,0.544667
495782,0.300000,5.000000,0.700000,Afghanistan,0.535333
686078,0.300000,5.000000,0.800000,Afghanistan,0.544000
964286,0.300000,5.000000,0.900000,Afghanistan,0.516667
520190,0.300000,5.000000,1.000000,Afghanistan,0.498000
594086,0.300000,5.500000,0.000000,Afghanistan,0.559333
21686,0.300000,5.500000,0.100000,Afghanistan,0.567333
1062590,0.300000,5.500000,0.200000,Afghanistan,0.556000
618494,0.300000,5.500000,0.300000,Afghanistan,0.562000
535550,0.300000,5.500000,0.400000,Afghanistan,0.561333
906422,0.300000,5.500000,0.500000,Afghanistan,0.547333
673790,0.300000,5.500000,0.600000,Afghanistan,0.566667
590846,0.300000,5.500000,0.700000,Afghanistan,0.545333
750254,0.300000,5.500000,0.800000,Afghanistan,0.540000
177854,0.300000,5.500000,0.900000,Afghanistan,0.517333
819590,0.300000,5.500000,1.000000,Afghanistan,0.515333
689150,0.300000,6.000000,0.000000,Afghanistan,0.564667
197534,0.300000,6.000000,0.100000,Afghanistan,0.570667
523262,0.300000,6.000000,0.200000,Afghanistan,0.562667
744446,0.300000,6.000000,0.300000,Afghanistan,0.564667
692390,0.300000,6.000000,0.400000,Afghanistan,0.568667
119990,0.300000,6.000000,0.500000,Afghanistan,0.546000
1160894,0.300000,6.000000,0.600000,Afghanistan,0.568000
412670,0.300000,6.000000,0.700000,Afghanistan,0.558000
633854,0.300000,6.000000,0.800000,Afghanistan,0.549333
1004726,0.300000,6.000000,0.900000,Afghanistan,0.542667
163838,0.300000,6.000000,1.000000,Afghanistan,0.531333
510974,0.300000,6.500000,0.000000,Afghanistan,0.554000
62126,0.300000,6.500000,0.100000,Afghanistan,0.560000
1103030,0.300000,6.500000,0.200000,Afghanistan,0.560000
566270,0.300000,6.500000,0.300000,Afghanistan,0.562667
787454,0.300000,6.500000,0.400000,Afghanistan,0.563333
946862,0.300000,6.500000,0.500000,Afghanistan,0.558667
464750,0.300000,6.500000,0.600000,Afghanistan,0.562667
234494,0.300000,6.500000,0.700000,Afghanistan,0.563333
151550,0.300000,6.500000,0.800000,Afghanistan,0.553333
218294,0.300000,6.500000,0.900000,Afghanistan,0.552000
